id,date,time,currency,importance,event,actual,forecast,previous
0,01/10/2024,00:00,USD,low,OPEC Crude Oil Production Algeria (Barrel),0.90M,,0.91M
1,01/10/2024,00:00,USD,low,OPEC Crude Oil Production Congo (Barrel),0.26M,,0.27M
2,01/10/2024,00:00,USD,low,OPEC Crude Oil Production Gabon (Barrel),0.22M,,0.22M
3,01/10/2024,00:00,USD,low,OPEC Crude Oil Production Guinea (Barrel),0.06M,,0.06M
4,01/10/2024,00:00,USD,low,OPEC Crude oil Production Iran (Barrel),3.30M,,3.28M
5,01/10/2024,00:00,USD,low,OPEC Crude oil Production Iraq (Barrel),4.10M,,4.23M
6,01/10/2024,00:00,USD,low,OPEC Crude Oil Production Kuwait (Barrel),2.41M,,2.41M
7,01/10/2024,00:00,USD,low,OPEC Crude Oil Production Libya (Barrel),0.65M,,0.96M
8,01/10/2024,00:00,USD,low,OPEC Crude Oil Production Nigeria (Barrel),1.50M,,1.45M
9,01/10/2024,00:00,USD,low,OPEC Crude oil Production Saudi Arabia (Barrel),8.98M,,8.98M
10,01/10/2024,00:00,USD,low,OPEC Crude oil Production UAE (Barrel),2.93M,,2.96M
11,01/10/2024,00:00,USD,low,OPEC Crude oil Production Venezuela (Barrel),0.82M,,0.87M
12,01/10/2024,00:30,USD,low,3-Month Bill Auction,4.500%,,4.540%
13,01/10/2024,00:30,USD,low,6-Month Bill Auction,4.215%,,4.270%
14,01/10/2024,02:55,USD,high,Fed Chair Powell Speaks,,,
15,01/10/2024,08:01,GBP,low,BRC Shop Price Index (YoY),-0.6%,-0.3%,-0.3%
16,01/10/2024,08:30,JPY,low,Jobs/applications ratio  (Aug),1.23,1.24,1.24
17,01/10/2024,08:30,JPY,low,Unemployment Rate  (Aug),2.5%,2.6%,2.7%
18,01/10/2024,08:50,JPY,low,BoJ Summary of Opinions,,,
19,01/10/2024,08:50,JPY,medium,Tankan All Big Industry CAPEX  (Q3),10.6%,11.9%,11.1%
20,01/10/2024,08:50,JPY,low,Tankan All Small Industry CAPEX  (Q3),2.6%,,-0.8%
21,01/10/2024,08:50,JPY,medium,Tankan Big Manufacturing Outlook Index  (Q3),14,,14
22,01/10/2024,08:50,JPY,medium,Tankan Large Manufacturers Index  (Q3),13,12,13
23,01/10/2024,08:50,JPY,low,Tankan Large Non-Manufacturers Diffusion Index  (Q3),28,30,27
24,01/10/2024,08:50,JPY,medium,Tankan Large Non-Manufacturers Index  (Q3),34,32,33
25,01/10/2024,08:50,JPY,low,Tankan Small Manufacturers Diffusion Index  (Q3),0,,0
26,01/10/2024,08:50,JPY,low,Tankan Small Manufacturing Index  (Q3),0,,-1
27,01/10/2024,08:50,JPY,low,Tankan Small Non-Manufacturers Diffusion Index  (Q3),11,,8
28,01/10/2024,08:50,JPY,low,Tankan Small Non-Manufacturing Index  (Q3),14,,12
29,01/10/2024,10:30,AUD,low,Building Approvals (YoY)  (Aug),7.90%,,25.20%
30,01/10/2024,10:30,AUD,medium,Building Approvals (MoM)  (Aug),-6.1%,-4.3%,11.0%
31,01/10/2024,10:30,AUD,low,Private House Approvals  (Aug),0.5%,,0.9%
32,01/10/2024,10:30,AUD,medium,Retail Sales (MoM)  (Aug),0.7%,0.4%,0.1%
33,01/10/2024,15:30,AUD,low,Commodity Prices (YoY)  (Sep),-10.1%,,-6.0%
34,01/10/2024,16:00,EUR,medium,ECB's De Guindos Speaks,,,
35,01/10/2024,18:00,EUR,low,Core CPI (MoM)  (Sep),0.1%,,0.3%
36,01/10/2024,18:00,EUR,medium,Core CPI (YoY)  (Sep),2.7%,2.7%,2.8%
37,01/10/2024,18:00,EUR,high,CPI (YoY)  (Sep),1.8%,1.8%,2.2%
38,01/10/2024,18:00,EUR,medium,CPI (MoM)  (Sep),-0.1%,,0.1%
39,01/10/2024,18:00,EUR,low,"CPI, n.s.a  (Sep)",126.63,,126.72
40,01/10/2024,18:00,EUR,low,HICP ex Energy & Food (YoY)  (Sep),2.7%,,2.8%
41,01/10/2024,18:00,EUR,low,HICP ex Energy and Food (MoM)  (Sep),0.1%,,0.3%
42,01/10/2024,18:10,GBP,low,20-Year Treasury Gilt Auction,4.421%,,4.372%
43,01/10/2024,21:55,USD,low,Redbook (YoY),5.3%,,4.4%
44,01/10/2024,23:00,GBP,medium,BoE MPC Member Pill Speaks,,,
45,01/10/2024,23:00,USD,medium,Construction Spending (MoM)  (Aug),-0.1%,0.2%,-0.5%
46,01/10/2024,23:00,USD,medium,ISM Manufacturing Employment  (Sep),43.9,47.0,46.0
47,01/10/2024,23:00,USD,low,ISM Manufacturing New Orders Index  (Sep),46.1,45.0,44.6
48,01/10/2024,23:00,USD,high,ISM Manufacturing PMI  (Sep),47.2,47.6,47.2
49,01/10/2024,23:00,USD,high,ISM Manufacturing Prices  (Sep),48.3,53.5,54.0
50,01/10/2024,23:00,USD,high,JOLTS Job Openings  (Aug),8.040M,7.640M,7.711M
51,01/10/2024,23:30,USD,low,Dallas Fed Services Revenues  (Sep),10.1,,8.7
52,01/10/2024,23:30,USD,low,Texas Services Sector Outlook  (Sep),-2.6,,-7.7
53,02/10/2024,00:00,USD,medium,FOMC Member Bostic Speaks,,,
54,02/10/2024,00:10,USD,low,Fed Governor Cook Speaks,,,
55,02/10/2024,00:30,USD,low,52-Week Bill Auction,3.780%,,4.150%
56,02/10/2024,00:30,EUR,medium,ECB's Schnabel Speaks,,,
57,02/10/2024,01:00,USD,medium,Atlanta Fed GDPNow  (Q3),2.5%,3.1%,3.1%
58,02/10/2024,05:30,USD,medium,API Weekly Crude Oil Stock,-1.458M,-2.100M,-4.339M
59,02/10/2024,07:15,USD,low,Fed Collins Speaks,,,
60,02/10/2024,07:15,USD,low,FOMC Member Barkin Speaks,,,
61,02/10/2024,07:15,USD,medium,FOMC Member Bostic Speaks,,,
62,02/10/2024,08:00,AUD,low,AIG Construction Index  (Sep),-19.8,,-38.1
63,02/10/2024,08:00,AUD,low,AIG Manufacturing Index  (Sep),-33.6,,-30.8
